id,name,no_ep
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
